cofog_level1_code,cofog_level2_code,amount
"01","",4073618999.97
"01","01.1",9271288539.670006
"01","01.2",4297096000
"01","01.3",617983399.9399996
"01","01.4",122494000
"01","01.5",30205202.009999998
"01","01.6",545529146.5199999
"01","01.7",28749000000
"01","01.8",-1802142000
"02","",50877999.989999995
"02","02.1",27465015999.989998
"02","02.2",39559330.620000005
"02","02.3",1689066000
"02","02.4",620605000
"02","02.5",2283863000
"03","",13550373999.99
"03","03.1",5815975898.09
"03","03.2",556828343.52
"03","03.3",6236140999.990001
"03","03.4",3811909000.03
"03","03.5",14110999.979999999
"03","03.6",462957999.9800001
"04","",973854999.9900002
"04","04.1",6057552220.029997
"04","04.2",5112556999.949999
"04","04.3",1381916702.04
"04","04.4",43656999.980000004
"04","04.5",19987997550.849995
"04","04.6",467439999.97999996
"04","04.7",153050999.99
"04","04.8",2765363000.050004
"04","04.9",822178580.76
"05","",4079245999.99
"05","05.1",2436937350.9799995
"05","05.2",45205000.010000005
"05","05.3",236834999.9799999
"05","05.4",489919000.01000005
"05","05.5",341631000.01
"05","05.6",1693164000.0000017
"06","",5907940999.98
"06","06.1",3689994960.560001
"06","06.2",680919287.1700001
"06","06.3",967707000.0
"06","06.4",54093000
"06","06.5",8529000
"06","06.6",196849851.82
"07","",277672000.0199999
"07","07.1",91917758000
"07","07.4",1703771999.9999998
"07","07.5",609336999.98
"08","",3721951999.9999995
"08","08.1",1333691000.02
"08","08.2",2347440219.5999994
"08","08.3",3566269999.9900002
"08","08.4",40558000.010000005
"08","08.5",108969000.02
"08","08.6",110206000.0
"09","",39855276000.00001
"09","09.1",4463174500.7
"09","09.2",14245918630.730005
"09","09.3",128974000
"09","09.4",10330972133.250004
"09","09.5",610786999.99
"09","09.6",801918330.9200001
"09","09.7",37992999.99
"09","09.8",2446302927.669997
"10","",34064858999.98
"10","10.1",27912940998.639973
"10","10.2",65847561999.929985
"10","10.3",1810551000.01
"10","10.4",22501366000.01
"10","10.5",4587793000.01
"10","10.6",2715944000.01
"10","10.7",15524320919.879997
"10","10.8",-13000
"10","10.9",2178014136.36
