cofog_level1_code,dept_code,value
01,DFT004,425530000.0
03,NIO081,7368105000.0
03,NIE099,589154000.0
05,Dept085,24750000.0
10,Dept032,793712226678.2424
01,IPS069,6571000.0
10,Dept074,71000.0
01,HOF034,247428000.0
04,Scottish LG Adjustment/Input,6823213000.0
08,DPM085,800000.0
01,CEX086,218332888000.0
06,Northern Irish LG Adjustment/Input,664169000.0
07,England LA data,1638752999.9900005
04,Dept090,331716000.0
10,Dept085,503942174.47000015
06,Dept032,32514000.010000005
04,Dept020,288280000.00000036
06,NIE099,6442342000.0
07,Dept033,589897477000.0
10,Scottish LG Adjustment/Input,24331190000.0
09,Dept048,985900000.0
09,NAW090,9211013000.0
01,HMT087,1257678000.0
10,England LA data,212153852000.0101
04,Dept004,61451091627.12002
04,Welsh LG Adjustment/Input,3153360000.0
03,HOF034,13932144000.0
07,Dept084,1948117946.93
07,NAW090,36567397000.0
01,HGT089,0.0
08,Dept084,723283999.9799999
03,Dept004,1341504197.8400004
04,England LA data,49843620999.99004
01,Dept009,213942999.97999993
01,GAD031,166000.0
08,England LA data,23121132999.92999
03,Dept066,6275000.010000002
03,NIC081,914088000.0
01,ILR041,29187628000.0
09,NIE099,17051987000.0
01,HOC036,1092325000.0
04,Dept074,478626000.02
01,Dept085,4381914832.88
03,Dept085,574359576.1199998
01,DEC066,27077000.0
01,NIO081,342598000.0
01,RMT087,0.0
08,DCM048,28156269000.0
01,Dept050,66595000.090000026
03,Dept022,834820908.2300005
08,SCT075,1269550000.0
01,LCD047,6277000.0
02,Dept017,65171999.999999985
04,Dept084,23395987472.300068
01,Dept004,-322600.0
05,Northern Irish LG Adjustment/Input,900070000.0
09,DTI084,0.0
09,Dept062,2200000.030000001
01,Dept030,33878926000.0
05,NAW090,765240000.0
02,Dept085,123019125.99999994
04,Dept013,460471000.0699999
10,Dept004,6800000.0
01,England LA data,25272682999.89001
04,BTI013,213603000.0
01,DCM048,100000.0
10,NAW090,1002439000.0
01,NIE099,2183926000.0
01,Dept061,8492000.01
06,SCT075,9620650000.0
08,Welsh LG Adjustment/Input,2125809000.0
07,Dept022,64683531.26
07,NIE099,20659523000.0
08,DTI084,28805000.0
04,MOD017,249829000.0
05,Dept084,1364580350.52
01,DES022,224373000.0
02,SCT075,18632000.0
10,Dept033,-13788497999.950014
01,FCO027,8539264000.0
04,SCT075,19013895000.0
10,Dept022,14802503539.44
10,Dept075,432999999.97999996
01,Dept047,293890999.9600001
10,Dept057,2003999.9799999995
10,Dept084,2908783000.0200024
04,EFR003,0.0
07,Northern Irish LG Adjustment/Input,273137000.0
08,NIE099,877061000.0
04,NIE099,9627255000.0
04,Northern Irish LG Adjustment/Input,107048000.0
09,England LA data,249446930000.01013
03,LCD047,4479000.0
10,Dept034,3964000.02
01,ELC011,162097000.0
01,WOF091,34087000.0
03,Dept089,63895999.87000002
05,SCT075,1457399000.0
01,DID030,562616000.0
09,Dept084,93064925299.97981
08,Dept085,61622343.719999984
01,Dept067,269344999.96999997
04,Dept088,204527000.02
10,Dept087,15500999.98
09,Dept022,58277522474.33989
07,Dept048,976900000.0
05,NIE099,468392000.0
01,PCO065,0.0
05,DEC066,69675000.0
10,NIO081,542948000.0
03,Dept019,299507999.97999996
10,Welsh LG Adjustment/Input,12485198000.0
03,ARA035,38196000.0
04,Dept057,194391999.84000006
06,Welsh LG Adjustment/Input,1900003000.0
05,Dept003,8367973285.249997
10,Dept010,6770552999.969999
01,Dept084,233233999.99000007
03,RCP046,171591000.0
04,Dept006,63998999.98999999
01,OPC060,190538000.0
01,PRO067,205000.0
09,Welsh LG Adjustment/Input,14713881000.0
02,England LA data,303948999.97
02,HMT087,0.0
03,Dept034,10463675000.070011
04,Dept085,11731585354.100008
10,Dept041,193894074969.51
01,HOL037,656179000.0
01,Scottish LG Adjustment/Input,3332512000.0
05,Dept048,963400000.0
01,DPM085,50954000.0
04,Dept041,1231949999.9600003
08,Scottish LG Adjustment/Input,4345262000.0
03,NAW090,241199000.0
01,DNS049,1166054000.0
09,Dept003,9718000.02
04,Dept003,25105344083.030018
06,Scottish LG Adjustment/Input,1349667000.0
03,DPM085,0.0
03,Welsh LG Adjustment/Input,4694134000.0
01,DTI084,76952000.0
04,Dept025,139974000.0
06,England LA data,23890623999.98
03,Dept010,-6891000.0
01,CPS016,10511000.0
01,Dept027,4660074999.969992
03,Scottish LG Adjustment/Input,7493766000.0
10,Dept030,768759999.9800004
01,GEO064,471400000.0
04,Dept066,7292042700.830003
10,Dept017,19535439999.98
04,NAW090,7950769000.0
09,Scottish LG Adjustment/Input,28784324000.0
10,Dept006,5999.98
03,DWP032,0.0
02,Welsh LG Adjustment/Input,19729000.0
08,Dept075,519290999.98999983
10,Dept048,-1902802000.01
05,Welsh LG Adjustment/Input,1975573000.0
08,Dept090,361759000.0100001
04,Dept022,82624193.31
07,DTI084,1928644053.09
05,EFR003,6465000.0
01,SCT075,3093097000.0
01,DOH033,6024000.0
01,Dept022,-5307000.000000001
04,Dept048,355723579.82
09,SCT075,16157967000.0
04,ECG025,162000.0
06,Dept003,-44076769.30000004
01,CAB010,164878000.0
01,Dept045,241627000.0
01,Dept066,407384999.97
04,DFT004,1310269000.0
02,Scottish LG Adjustment/Input,26326000.0
02,MOD017,224763060000.0
05,DTI084,1511782649.52
05,Dept041,24999999.99
10,SCT075,679867000.0
01,Dept087,186921000.03000003
05,Scottish LG Adjustment/Input,3557593000.0
03,Dept016,4513294999.929999
03,HMT087,0.0
01,Dept048,59849000.01000001
07,SCT075,66640437000.0
08,NAW090,538722000.0
08,Dept048,14856825892.2
02,Dept004,6773000.129999996
01,NAO050,508877000.0
04,DTI084,2685258934.9300003
05,DPM085,900000.0
10,NIE099,38348977000.0
03,HGT089,0.0
01,CES014,-45688000.0
01,Dept032,90252000.01
01,Welsh LG Adjustment/Input,1544584000.0
03,TSC068,6285000.0
08,Dept017,140824999.94000012
04,Dept075,77785000.0
01,DWP032,260015000.0
01,HOA038,1150449000.0
06,Dept085,22143948960.489994
06,NAW090,1209921000.0
01,MOD017,375237000.0
04,Dept026,939252999.9600002
02,Dept010,10844376000.0
04,Dept087,14672000000.0
03,SCT075,6973844000.0
01,Dept005,1406939000.0799994
10,Dept047,306974000.06000006
05,Dept066,12666807630.399988
01,Dept010,2132769999.989998
01,ONS005,22000000.0
06,ENG_HRA,12393366999.969992
03,Dept047,60796048001.00001
01,NAW090,3003175000.0
05,Dept004,4995000.0
01,SCO042,81651000.0
01,EFR003,76000000.0
01,Dept041,1249606097.1099992
08,Northern Irish LG Adjustment/Input,1256704000.0
05,England LA data,26417333000.010002
03,England LA data,83317461000.00993
04,Dept032,22825662999.960056
04,HMT087,-2777956000.0
09,Northern Irish LG Adjustment/Input,0.0
